Campaign ID,Campaign,Ad Group,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4
24186318918,TL - Yetiskin Programlar,1B Techne Musical Lab,Responsive search ad,https://www.technelabistanbul.com/atolyeler/techne-musical-lab,muzikal,lab,Techne Musical Lab,Drama · Tiyatro · Müzikal,8 Ay · Seyircili Final,15–55 Yaş,Oyunculuk Şan ve Dans,12 Kişilik Grup,Köksal Ünal & Sitare Bilge,Kadıköy,28 Eylül'de Başlıyor,Başvurular Değerlendirmeyle,"Sekiz ay: drama, şan ve dans. Mayıs'ta seyirci önünde bir müzikal.","Şarkı kolajı değil, sahnelenmiş bir müzikal. Kostüm, ışık, dekor.",On iki kişilik grup. Başvuru kısa bir performans videosuyla değerlendirilir.,"15–55 yaş arası katılımcılara açık. Başvuru formu sitede, birkaç dakika sürüyor."
24186318918,TL - Yetiskin Programlar,1C Broadway Musical Dance,Responsive search ad,https://www.technelabistanbul.com/atolyeler/broadway-musical-dance,broadway,dans,Broadway Musical Dance,Jazz · Theatre Dance,12–55 Yaş,Dans Deneyimi Gerekmiyor,Teknik Temelden Başlıyoruz,15 Kişilik Grup,Köksal Ünal İle,Kadıköy · Perşembe 19:00,17 Eylül'de Başlıyor,Online Başvuru Açık,Broadway müzikal tiyatrosunun dans dili. Jazz ve theatre dance tekniği.,Dans deneyimi gerekmiyor. Teknik temelden başlayan 12 haftalık program.,12–55 yaş arası katılımcılara açık. Aylık katılım seçeneği de var.,Kadıköy'de perşembe akşamları. On beş kişilik grup. Online başvuru açık.
24186318918,TL - Yetiskin Programlar,1D The Auteur Lab,Responsive search ad,https://www.technelabistanbul.com/atolyeler/auteur-lab,yaratici,yazarlik,The Auteur Lab,Yaratıcı Yazarlık,Dramaturji Atölyesi,Sophokles'ten Beckett'e,8 Haftalık Modül,10 Kişilik Grup,Halil Yağız Şanal İle,Kadıköy · Marmaray 8 dk,7 Ekim'de Başlıyor,Online Başvuru Açık,"Metnin nasıl kurulduğunu görmek için sekiz hafta. Roman, senaryo ve oyun.",On kişilik grup. Modüller ayrı alınabilir; devam kararını sonra verirsiniz.,İKSV ödüllü oyun yazarı Halil Yağız Şanal ile. Kadıköy'de çarşamba akşamları.,Yazma deneyimi gerekmiyor. Program sahne dilini sıfırdan kuruyor.
24186318918,TL - Yetiskin Programlar,1E English Acting Praxis,Responsive search ad,https://www.technelabistanbul.com/atolyeler/english-drama-final-project,english,acting,English Acting Praxis,Tamamen İngilizce,Harika Uygur Masterclass,Finalde Audition Çekimi,12 Haftalık Yoğun Program,14 Kişilik Grup,Cast Direktörü Süpervizör,Pera · Cumartesi 11:00,26 Eylül'de Başlıyor,Başvurular Değerlendirmeyle,"On iki hafta, tamamen İngilizce. Metin, karakter ve prova disiplini.",Finalde Cast Direktörü Harika Uygur ile masterclass ve audition çekimi.,"B1 seviyesi İngilizce yeterli. On dört kişilik grup, Pera'da cumartesi.",Performanslar kayıt altına alınıp size teslim ediliyor. Başvurular değerlendirmeyle.
