Campaign,Sitelink text,Description line 1,Description line 2,Final URL
TL - Yetiskin Programlar,Hemen Başvur,Online başvuru formu,Birkaç dakika sürüyor,https://www.technelabistanbul.com/atolyeler/english-drama-lab/kayit
TL - Yetiskin Programlar,Tüm Programlar,"Altı program, Eylül dönemi",Kadıköy ve Pera,https://www.technelabistanbul.com/atolyeler
TL - Yetiskin Programlar,Eğitmen Kadrosu,Kimlerle çalışacaksın,Sahne ve set deneyimi,https://www.technelabistanbul.com/ekip
TL - Yetiskin Programlar,İletişim,Sorularını yanıtlayalım,0552 242 59 71,https://www.technelabistanbul.com/iletisim
TL - Youth Veli,Veli Başvuru Formu,10–17 yaş için,Veli onayıyla doldurulur,https://www.technelabistanbul.com/atolyeler/english-drama-youth/kayit
TL - Youth Veli,Program Detayları,"Sekiz ay, haftada bir gün",Yıl sonu sahne gösterisi,https://www.technelabistanbul.com/atolyeler/english-drama-youth
TL - Youth Veli,Eğitmen Kadrosu,Çocuğunuz kiminle çalışacak,Alara Lokum ile,https://www.technelabistanbul.com/ekip
TL - Youth Veli,İletişim,Sorularınızı yanıtlayalım,0552 242 59 71,https://www.technelabistanbul.com/iletisim
